algo1,algo2,method,gamma_pref,treatment_percentage,cluster_shuffle_percentage,TUR_algo_1,TUR_algo_2,graph_cut,TE,Percentage_TE
Item,Item,Ref,1.0,0.0,0.5,[0.4522632  0.38357146 0.52200113 0.04080618],[0.45189342 0.37656691 0.52070858 0.04052089],0.0,[ 0.00036978 -0.08235544  0.07451837  0.        ],[-0.00300834 -0.19628647  0.15579351  0.0081475 ]
User,User,Ref,1.0,0.0,0.5,[0.09890271 0.06956845 0.15099601 0.00297662],[0.09824968 0.0700441  0.14087868 0.00262727],0.0,[ 0.00065303 -0.02298073  0.02522869  0.        ],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,0.5,[0.47221004 0.45811921 0.48632778 0.04191024],[0.47270137 0.45799799 0.48768301 0.04202283],0.0,[-0.00049132 -0.0211757   0.0223773   0.        ],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,0.5,[0.9994252  0.9984846  1.         0.18723911],[0.99941886 0.99844435 1.         0.1872333 ],0.0,[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  0.00000000e+00],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.5,0.5,[0.94622947 0.90157946 0.9736463  0.16650761],[0.99945251 0.99844444 1.         0.18723752],0.0,[-0.05322304 -0.0977497  -0.02577171  0.00035894],[-0.05668432 -0.1083655  -0.02646895  0.00047869]
Item,Random,Naive,1.0,0.5,0.5,[0.48692672 0.41623358 0.55760566 0.0469532 ],[0.47230388 0.456275   0.48780944 0.04191923],0.0,[ 0.01462283 -0.05870238  0.08834409  0.00147831],[ 0.02414569 -0.1432253   0.16014823  0.00622149]
Item,User,Naive,1.0,0.5,0.5,[0.41167028 0.32833013 0.48851867 0.0346522 ],[0.32847406 0.22130902 0.43699909 0.02610158],0.0,[ 0.08319622 -0.01650669  0.18669507  0.00269943],[ 0.20052144 -0.03890018  0.43880572  0.01504155]
Ideal,Item,Naive,1.0,0.5,0.5,[0.99940898 0.99834515 1.         0.18721972],[0.94607181 0.89898827 0.97246377 0.16607685],0.0,[0.05333717 0.02713556 0.1004921  0.00032365],[0.05336801 0.0271529  0.10054943 0.00032394]
Ideal,Random,Naive,1.0,0.5,0.5,[0.99941817 0.99838339 1.         0.18722563],[0.47218899 0.4571751  0.48752848 0.04193985],0.0,[5.27229176e-01 5.12035027e-01 5.42345768e-01 5.64507091e-05],[5.27536007e-01 5.12256063e-01 5.42516444e-01 5.63546249e-05]
Ideal,User,Naive,1.0,0.5,0.5,[0.99945523 0.99844948 1.         0.18723849],[0.81111898 0.54356144 0.9242209  0.12730238],0.0,[0.18833625 0.07549599 0.45552088 0.00882189],[0.18844135 0.07553697 0.45593929 0.00883404]
Random,Item,Naive,1.0,0.5,0.5,[0.47245103 0.45832265 0.48744183 0.04200884],[0.48762244 0.41716423 0.55963126 0.0472147 ],0.0,[-0.01517141 -0.09053016  0.05815831  0.00137989],[-0.03244037 -0.19555593  0.12201436  0.0062192 ]
Random,Ideal,Naive,1.0,0.5,0.5,[0.47229979 0.45710594 0.48621444 0.04185557],[0.99942041 0.99837949 1.         0.18722543],0.0,[-5.27120624e-01 -5.42292981e-01 -5.13456197e-01  6.06195225e-05],[-1.11664613 -1.18701089 -1.05595826  0.00122147]
Random,User,Naive,1.0,0.5,0.5,[0.47264671 0.45752865 0.48774404 0.04199944],[0.12034272 0.08769854 0.17850324 0.00417066],0.0,[0.35230398 0.2947014  0.38736509 0.00054762],[0.74536516 0.62580112 0.81579016 0.00227755]
User,Ideal,Naive,1.0,0.5,0.5,[0.81706939 0.55957056 0.93356532 0.12950093],[0.99940446 0.99837963 1.         0.18722345],0.0,[-0.18233507 -0.43912038 -0.0662166   0.00934028],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,0.5,[0.12074685 0.08577705 0.17756165 0.0041463 ],[0.4722172  0.45798424 0.48683441 0.04193719],0.0,[-0.35147035 -0.39056203 -0.29128611  0.00061918],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,0.5,[0.32756457 0.21539464 0.44168009 0.02659902],[0.4124702  0.33095121 0.49087609 0.03493678],0.0,[-0.08490563 -0.18895208  0.01620602  0.00277973],[-0.29030574 -0.79629075  0.04071511  0.04843584]
Item,Ideal,Split,1.0,0.5,0.5,[0.36513136 0.27306973 0.44883987 0.02848268],[9.99422068e-01 9.98444444e-01 1.00000000e+00 1.84282005e-07],0.0,[-0.63429071 -0.72634823 -0.55001233  0.00195735],[-1.78011149 -2.66116207 -1.22549101  0.13025734]
Item,Random,Split,1.0,0.5,0.5,[0.36739538 0.28030593 0.45464096 0.02911489],[4.72411364e-01 4.56859305e-01 4.88000855e-01 5.78318391e-05],0.0,[-0.10501598 -0.19372972 -0.0153229   0.00207241],[-0.30589075 -0.70116148 -0.03397397  0.02835435]
Item,User,Split,1.0,0.5,0.5,[0.36273702 0.2777551  0.44520158 0.02806195],[0.11592198 0.0653924  0.20208108 0.00129844],0.0,[0.24681505 0.11141559 0.35858214 0.00378402],[0.67322525 0.37765407 0.83480796 0.01389109]
Ideal,Item,Split,1.0,0.5,0.5,[0.99939232 0.99838373 1.         0.18722244],[0.36430091 0.28028848 0.44915123 0.0019044 ],0.0,[0.6350914  0.55040849 0.71906102 0.00190313],[0.63547824 0.55052445 0.71952661 0.00190617]
Ideal,Random,Split,1.0,0.5,0.5,[0.99941311 0.99850427 1.         0.18724005],[4.72077890e-01 4.56943736e-01 4.88022876e-01 5.96657959e-05],0.0,[5.27335220e-01 5.11524276e-01 5.42669148e-01 6.01535396e-05],[5.27644650e-01 5.11750565e-01 5.42931778e-01 5.99187593e-05]
Ideal,User,Split,1.0,0.5,0.5,[0.99944012 0.99853179 1.         0.18724685],[0.11444567 0.06538131 0.19937081 0.00122723],0.0,[0.88499445 0.79998887 0.9341673  0.0012277 ],[0.88549005 0.80050054 0.93458916 0.0012286 ]
Random,Item,Split,1.0,0.5,0.5,[0.47191485 0.45827145 0.48624717 0.04189543],[0.36357165 0.27821995 0.44934817 0.00196892],0.0,[0.10834321 0.01656627 0.192155   0.00201351],[0.2294145  0.03537853 0.40583117 0.00897023]
Random,Ideal,Split,1.0,0.5,0.5,[0.47193697 0.45681748 0.4866712  0.04184953],[9.99426689e-01 9.98444444e-01 1.00000000e+00 1.75909503e-07],0.0,[-5.27489719e-01 -5.42692238e-01 -5.12705451e-01  5.94466510e-05],[-1.11827552 -1.18802104 -1.05310757  0.00119877]
Random,User,Split,1.0,0.5,0.5,[0.47206436 0.45579697 0.48670749 0.04180715],[0.11778886 0.06559524 0.20619065 0.00136914],0.0,[0.35427551 0.26554688 0.40796334 0.00140637],[0.75046807 0.56506452 0.85927527 0.00613379]
User,Ideal,Split,1.0,0.5,0.5,[0.1187687  0.06862473 0.20876911 0.00579093],[9.99404737e-01 9.98411872e-01 1.00000000e+00 1.79601642e-07],0.0,[-0.88063604 -0.92979656 -0.78999437  0.00139637],[ -8.19419893 -13.54914485  -3.78405944   7.06588938]
User,Random,Split,1.0,0.5,0.5,[0.11578079 0.06337405 0.19958861 0.00534886],[4.71977847e-01 4.56916100e-01 4.87150654e-01 5.85722830e-05],0.0,[-0.35619705 -0.41007159 -0.27078658  0.00139777],[-3.46564651 -6.40455378 -1.34262663  1.74381938]
User,Item,Split,1.0,0.5,0.5,[0.11712049 0.06323333 0.20102789 0.00544122],[0.36561755 0.2785     0.44889216 0.00200016],0.0,[-0.24849706 -0.3582575  -0.116       0.00388806],[-2.44295964 -5.11324341 -0.60581428  1.43839053]
Item,Ideal,Cluster,1.0,0.5,0.5,[0.92995713 0.84749271 0.96852657 0.15900281],[0.9994235  0.9984127  1.         0.18722995],0.45531021285260626,[-0.06946638 -0.1335579  -0.03489226  0.00243242],[-0.07594921 -0.1788933  -0.03166513  0.00141899]
Item,Random,Cluster,1.0,0.48,0.5,[0.49242523 0.41433076 0.56710332 0.04817336],[0.47210194 0.45729091 0.48843642 0.04200135],0.3960403511490024,[ 0.02032329 -0.04764052  0.08471843  0.00225904],[ 0.03506633 -0.14522169  0.1701909   0.00664858]
Item,User,Cluster,1.0,0.53,0.5,[0.41140029 0.32698313 0.49022068 0.03477937],[0.31573636 0.21309592 0.42137707 0.02423338],0.48206211471474647,[0.09566394 0.00851951 0.19242396 0.00606429],[ 0.23004315 -0.00703893  0.48688432  0.01537488]
Ideal,Item,Cluster,1.0,0.49,0.5,[0.99942397 0.99822222 1.         0.1872063 ],[0.93572065 0.8608755  0.97246335 0.16136052],0.46123313589903203,[0.06370332 0.03039637 0.12321411 0.00208936],[0.06373801 0.02637362 0.13840889 0.00079971]
Ideal,Random,Cluster,1.0,0.52,0.5,[0.99938227 0.99823232 1.         0.18720235],[0.47243678 0.45690814 0.48816501 0.04198326],0.4283144683518629,[0.52694549 0.51337749 0.54044614 0.05215057],[5.27270426e-01 5.11595271e-01 5.42971315e-01 6.80264972e-05]
Ideal,User,Cluster,1.0,0.51,0.5,[0.99942263 0.99841187 1.         0.18722973],[0.75571035 0.43251218 0.91253032 0.12189647],0.4549932782304887,[0.24371228 0.09775312 0.49758556 0.03513528],[0.24385359 0.08720796 0.5673804  0.01532699]
Random,Item,Cluster,1.0,0.47,0.5,[0.47247507 0.45759437 0.48703889 0.04194579],[0.49316304 0.4172608  0.56342593 0.04792671],0.3932775993064488,[-0.02068797 -0.08380458  0.04234504  0.00206968],[-0.04413209 -0.19969268  0.11632799  0.00658177]
Random,Ideal,Cluster,1.0,0.49,0.5,[0.47241796 0.45690756 0.48688889 0.04189706],[0.99943934 0.99837963 1.         0.18722781],0.43044457187239277,[-0.52702138 -0.53992452 -0.51455087  0.0521874 ],[-1.11614806 -1.18820316 -1.05260817  0.00120069]
Random,User,Cluster,1.0,0.46,0.5,[0.4722671  0.45656355 0.48624639 0.04182782],[0.12018081 0.08723931 0.18051796 0.00425422],0.4112472593824775,[0.35208629 0.3050011  0.38479374 0.02341939],[0.74545573 0.61526627 0.8156766  0.00254743]
User,Ideal,Cluster,1.0,0.51,0.5,[0.76032709 0.47056775 0.90496578 0.1195048 ],[0.99941206 0.99844444 1.         0.18723247],0.45487288462984815,[-0.23908497 -0.46518609 -0.10883912  0.03002966],[-0.35290229 -1.12249921 -0.10391286  0.07556925]
User,Random,Cluster,1.0,0.47,0.5,[0.12272652 0.08911939 0.18272262 0.00436763],[0.47247464 0.45751449 0.48675236 0.04192264],0.41131194820802575,[-0.34974812 -0.38437571 -0.30335001  0.02325042],[-2.97654293 -4.35822156 -1.58013093  0.48591064]
User,Item,Cluster,1.0,0.43,0.5,[0.31926966 0.20491921 0.4174343  0.02412821],[0.41312395 0.33131797 0.49315628 0.03518345],0.4825191229978388,[-0.09385429 -0.18562612 -0.01675262  0.00540196],[-0.32495694 -0.90205657 -0.00578832  0.05302435]
Item,Ideal,User-corpus,1.0,0.5,0.5,[0.32881864 0.26211758 0.39637224 0.02256094],[9.85318877e-01 9.78281540e-01 9.91611395e-01 1.17054396e-05],0.0,[-0.65650023 -0.72217846 -0.58776865  0.00120569],[-2.03124736 -2.76221644 -1.48526387  0.1084634 ]
Item,Random,User-corpus,1.0,0.5,0.5,[0.33055743 0.26527902 0.40025049 0.02294858],[4.22371810e-01 4.04885714e-01 4.39252524e-01 7.57619107e-05],0.0,[-0.09181438 -0.15984188 -0.01872486  0.00129347],[-0.29208377 -0.59494298 -0.04696031  0.02047755]
Item,User,User-corpus,1.0,0.5,0.5,[0.33054702 0.26617387 0.40068086 0.02298811],[0.08335687 0.04288889 0.14320804 0.00069763],0.0,[0.24719015 0.15002348 0.34032467 0.00225493],[0.74322771 0.53048808 0.88240402 0.00838946]
Ideal,Item,User-corpus,1.0,0.5,0.5,[0.98503624 0.97802886 0.99147308 0.18188294],[0.32918548 0.26537458 0.40185284 0.00116505],0.0,[0.65585076 0.58485797 0.71984031 0.00114321],[0.6658271  0.59302954 0.73108065 0.00119099]
Ideal,Random,User-corpus,1.0,0.5,0.5,[0.98497416 0.97777778 0.99138587 0.18183422],[4.22202918e-01 4.04846320e-01 4.38888889e-01 7.32522683e-05],0.0,[5.62771244e-01 5.41934885e-01 5.83217620e-01 1.01863422e-04],[5.71342526e-01 5.52889894e-01 5.89631461e-01 8.50081977e-05]
Ideal,User,User-corpus,1.0,0.5,0.5,[0.98502922 0.97777778 0.99143613 0.18184736],[0.08443414 0.03920105 0.14947526 0.00083545],0.0,[9.00595087e-01 8.37073690e-01 9.46243633e-01 8.47059270e-04],[9.14282007e-01 8.48831817e-01 9.60233311e-01 8.60878582e-04]
Random,Item,User-corpus,1.0,0.5,0.5,[0.42195285 0.40508939 0.43877834 0.03352315],[0.32885344 0.26451537 0.39760893 0.00116925],0.0,[0.09309941 0.02275977 0.16053825 0.00128345],[0.22019606 0.05450293 0.38146499 0.00698179]
Random,Ideal,User-corpus,1.0,0.5,0.5,[0.4225106  0.40502506 0.43818213 0.03351343],[9.84917200e-01 9.77277464e-01 9.91358655e-01 1.26655318e-05],0.0,[-5.62406595e-01 -5.82206349e-01 -5.43947690e-01  9.70154600e-05],[-1.33207702 -1.43313165 -1.24529863  0.00242856]
Random,User,User-corpus,1.0,0.5,0.5,[0.42216293 0.4037037  0.4396259  0.03352533],[0.08389936 0.04036069 0.14612905 0.00081847],0.0,[0.33826357 0.27130474 0.3873235  0.00093021],[0.8010815  0.65418902 0.9037192  0.00465668]
User,Ideal,User-corpus,1.0,0.5,0.5,[0.08265947 0.04148032 0.14317495 0.00279699],[9.84879145e-01 9.78008919e-01 9.91254617e-01 1.13209761e-05],0.0,[-9.02219676e-01 -9.43683145e-01 -8.41538301e-01  7.60703061e-04],[-12.32445096 -22.63536294  -5.87321296  21.19207075]
User,Random,User-corpus,1.0,0.5,0.5,[0.08549558 0.04297659 0.15212229 0.00315359],[4.22176476e-01 4.03702107e-01 4.39302287e-01 7.70871444e-05],0.0,[-0.33668089 -0.38528994 -0.27242565  0.00089792],[-4.48770938 -8.70510894 -1.80184674  3.38011131]
User,Item,User-corpus,1.0,0.5,0.5,[0.08408985 0.04247157 0.1452317  0.00287483],[0.32994368 0.26182033 0.40002874 0.00125039],0.0,[-0.24585383 -0.33657207 -0.14776192  0.00226396],[-3.37976781 -7.21078871 -1.10217661  2.61025962]
Item,Item,Ref,1.0,0.0,0.0,[0.4522632  0.38357146 0.52200113 0.04080618],[0.45189342 0.37656691 0.52070858 0.04052089],0.0,[ 0.00036978 -0.08235544  0.07451837  0.        ],[-0.00300834 -0.19628647  0.15579351  0.0081475 ]
User,User,Ref,1.0,0.0,0.0,[0.09890271 0.06956845 0.15099601 0.00297662],[0.09824968 0.0700441  0.14087868 0.00262727],0.0,[ 0.00065303 -0.02298073  0.02522869  0.        ],[-0.00172387 -0.25545871  0.21948807  0.01530416]
Random,Random,Ref,1.0,0.0,0.0,[0.47221004 0.45811921 0.48632778 0.04191024],[0.47270137 0.45799799 0.48768301 0.04202283],0.0,[-0.00049132 -0.0211757   0.0223773   0.        ],[-0.00131505 -0.04608157  0.04598976  0.00054949]
Ideal,Ideal,Ref,1.0,0.0,0.0,[0.9994252  0.9984846  1.         0.18723911],[0.99941886 0.99844435 1.         0.1872333 ],0.0,[ 6.33846084e-06 -1.23515024e-03  1.41892103e-03  0.00000000e+00],[ 6.11788997e-06 -1.23667774e-03  1.41892780e-03  4.65922707e-07]
Item,Ideal,Naive,1.0,0.5,0.0,[0.94622947 0.90157946 0.9736463  0.16650761],[0.99945251 0.99844444 1.         0.18723752],0.0,[-0.05322304 -0.0977497  -0.02577171  0.00035894],[-0.05668432 -0.1083655  -0.02646895  0.00047869]
Item,Random,Naive,1.0,0.5,0.0,[0.48692672 0.41623358 0.55760566 0.0469532 ],[0.47230388 0.456275   0.48780944 0.04191923],0.0,[ 0.01462283 -0.05870238  0.08834409  0.00147831],[ 0.02414569 -0.1432253   0.16014823  0.00622149]
Item,User,Naive,1.0,0.5,0.0,[0.41167028 0.32833013 0.48851867 0.0346522 ],[0.32847406 0.22130902 0.43699909 0.02610158],0.0,[ 0.08319622 -0.01650669  0.18669507  0.00269943],[ 0.20052144 -0.03890018  0.43880572  0.01504155]
Ideal,Item,Naive,1.0,0.5,0.0,[0.99940898 0.99834515 1.         0.18721972],[0.94607181 0.89898827 0.97246377 0.16607685],0.0,[0.05333717 0.02713556 0.1004921  0.00032365],[0.05336801 0.0271529  0.10054943 0.00032394]
Ideal,Random,Naive,1.0,0.5,0.0,[0.99941817 0.99838339 1.         0.18722563],[0.47218899 0.4571751  0.48752848 0.04193985],0.0,[5.27229176e-01 5.12035027e-01 5.42345768e-01 5.64507091e-05],[5.27536007e-01 5.12256063e-01 5.42516444e-01 5.63546249e-05]
Ideal,User,Naive,1.0,0.5,0.0,[0.99945523 0.99844948 1.         0.18723849],[0.81111898 0.54356144 0.9242209  0.12730238],0.0,[0.18833625 0.07549599 0.45552088 0.00882189],[0.18844135 0.07553697 0.45593929 0.00883404]
Random,Item,Naive,1.0,0.5,0.0,[0.47245103 0.45832265 0.48744183 0.04200884],[0.48762244 0.41716423 0.55963126 0.0472147 ],0.0,[-0.01517141 -0.09053016  0.05815831  0.00137989],[-0.03244037 -0.19555593  0.12201436  0.0062192 ]
Random,Ideal,Naive,1.0,0.5,0.0,[0.47229979 0.45710594 0.48621444 0.04185557],[0.99942041 0.99837949 1.         0.18722543],0.0,[-5.27120624e-01 -5.42292981e-01 -5.13456197e-01  6.06195225e-05],[-1.11664613 -1.18701089 -1.05595826  0.00122147]
Random,User,Naive,1.0,0.5,0.0,[0.47264671 0.45752865 0.48774404 0.04199944],[0.12034272 0.08769854 0.17850324 0.00417066],0.0,[0.35230398 0.2947014  0.38736509 0.00054762],[0.74536516 0.62580112 0.81579016 0.00227755]
User,Ideal,Naive,1.0,0.5,0.0,[0.81706939 0.55957056 0.93356532 0.12950093],[0.99940446 0.99837963 1.         0.18722345],0.0,[-0.18233507 -0.43912038 -0.0662166   0.00934028],[-0.24595247 -0.78474534 -0.07092873  0.04049165]
User,Random,Naive,1.0,0.5,0.0,[0.12074685 0.08577705 0.17756165 0.0041463 ],[0.4722172  0.45798424 0.48683441 0.04193719],0.0,[-0.35147035 -0.39056203 -0.29128611  0.00061918],[-3.04618615 -4.53376938 -1.65890611  0.53425049]
User,Item,Naive,1.0,0.5,0.0,[0.32756457 0.21539464 0.44168009 0.02659902],[0.4124702  0.33095121 0.49087609 0.03493678],0.0,[-0.08490563 -0.18895208  0.01620602  0.00277973],[-0.29030574 -0.79629075  0.04071511  0.04843584]
Item,Ideal,Split,1.0,0.5,0.0,[0.36513136 0.27306973 0.44883987 0.02848268],[9.99422068e-01 9.98444444e-01 1.00000000e+00 1.84282005e-07],0.0,[-0.63429071 -0.72634823 -0.55001233  0.00195735],[-1.78011149 -2.66116207 -1.22549101  0.13025734]
Item,Random,Split,1.0,0.5,0.0,[0.36739538 0.28030593 0.45464096 0.02911489],[4.72411364e-01 4.56859305e-01 4.88000855e-01 5.78318391e-05],0.0,[-0.10501598 -0.19372972 -0.0153229   0.00207241],[-0.30589075 -0.70116148 -0.03397397  0.02835435]
Item,User,Split,1.0,0.5,0.0,[0.36273702 0.2777551  0.44520158 0.02806195],[0.11592198 0.0653924  0.20208108 0.00129844],0.0,[0.24681505 0.11141559 0.35858214 0.00378402],[0.67322525 0.37765407 0.83480796 0.01389109]
Ideal,Item,Split,1.0,0.5,0.0,[0.99939232 0.99838373 1.         0.18722244],[0.36430091 0.28028848 0.44915123 0.0019044 ],0.0,[0.6350914  0.55040849 0.71906102 0.00190313],[0.63547824 0.55052445 0.71952661 0.00190617]
Ideal,Random,Split,1.0,0.5,0.0,[0.99941311 0.99850427 1.         0.18724005],[4.72077890e-01 4.56943736e-01 4.88022876e-01 5.96657959e-05],0.0,[5.27335220e-01 5.11524276e-01 5.42669148e-01 6.01535396e-05],[5.27644650e-01 5.11750565e-01 5.42931778e-01 5.99187593e-05]
Ideal,User,Split,1.0,0.5,0.0,[0.99944012 0.99853179 1.         0.18724685],[0.11444567 0.06538131 0.19937081 0.00122723],0.0,[0.88499445 0.79998887 0.9341673  0.0012277 ],[0.88549005 0.80050054 0.93458916 0.0012286 ]
Random,Item,Split,1.0,0.5,0.0,[0.47191485 0.45827145 0.48624717 0.04189543],[0.36357165 0.27821995 0.44934817 0.00196892],0.0,[0.10834321 0.01656627 0.192155   0.00201351],[0.2294145  0.03537853 0.40583117 0.00897023]
Random,Ideal,Split,1.0,0.5,0.0,[0.47193697 0.45681748 0.4866712  0.04184953],[9.99426689e-01 9.98444444e-01 1.00000000e+00 1.75909503e-07],0.0,[-5.27489719e-01 -5.42692238e-01 -5.12705451e-01  5.94466510e-05],[-1.11827552 -1.18802104 -1.05310757  0.00119877]
Random,User,Split,1.0,0.5,0.0,[0.47206436 0.45579697 0.48670749 0.04180715],[0.11778886 0.06559524 0.20619065 0.00136914],0.0,[0.35427551 0.26554688 0.40796334 0.00140637],[0.75046807 0.56506452 0.85927527 0.00613379]
User,Ideal,Split,1.0,0.5,0.0,[0.1187687  0.06862473 0.20876911 0.00579093],[9.99404737e-01 9.98411872e-01 1.00000000e+00 1.79601642e-07],0.0,[-0.88063604 -0.92979656 -0.78999437  0.00139637],[ -8.19419893 -13.54914485  -3.78405944   7.06588938]
User,Random,Split,1.0,0.5,0.0,[0.11578079 0.06337405 0.19958861 0.00534886],[4.71977847e-01 4.56916100e-01 4.87150654e-01 5.85722830e-05],0.0,[-0.35619705 -0.41007159 -0.27078658  0.00139777],[-3.46564651 -6.40455378 -1.34262663  1.74381938]
User,Item,Split,1.0,0.5,0.0,[0.11712049 0.06323333 0.20102789 0.00544122],[0.36561755 0.2785     0.44889216 0.00200016],0.0,[-0.24849706 -0.3582575  -0.116       0.00388806],[-2.44295964 -5.11324341 -0.60581428  1.43839053]
Item,Ideal,Cluster,1.0,0.49,0.0,[0.8159952  0.67643513 0.93030303 0.13036679],[0.99944044 0.99814815 1.         0.18719915],0.37209796472086826,[-0.18344525 -0.30960759 -0.07700299  0.01354939],[-0.23511331 -0.47799417 -0.07426274  0.01337245]
Item,Random,Cluster,1.0,0.5,0.0,[0.51031578 0.40833056 0.5948904  0.05208807],[0.47258027 0.45729627 0.48785115 0.0419907 ],0.3235020671259203,[ 0.03773552 -0.04693539  0.11127317  0.00335097],[ 0.06546918 -0.16266857  0.20266482  0.00869948]
Item,User,Cluster,1.0,0.48,0.0,[0.42468885 0.32041236 0.5183981  0.03816342],[0.2824828  0.16684384 0.40205152 0.02201691],0.4362049764803487,[0.14220605 0.03785288 0.25451914 0.00980522],[0.33158396 0.04594809 0.58486175 0.01862419]
Ideal,Item,Cluster,1.0,0.47,0.0,[0.99941713 0.99807669 1.         0.18718734],[0.81111427 0.65368187 0.93152574 0.12933923],0.3699150800882637,[0.18830286 0.07576247 0.32319573 0.01485863],[0.18841694 0.06825562 0.34553972 0.00580672]
Ideal,Random,Cluster,1.0,0.42,0.0,[0.99938439 0.99803773 1.         0.18717841],[0.47216129 0.45816245 0.48747056 0.04198537],0.3356898050454419,[0.5272231  0.51499605 0.53929822 0.0521821 ],[5.27547030e-01 5.12277746e-01 5.41789690e-01 5.54434554e-05]
Ideal,User,Cluster,1.0,0.49,0.0,[0.99941702 0.99814815 1.         0.18719622],[0.60995353 0.28950198 0.83012042 0.0992741 ],0.4326868388729591,[0.38946349 0.1912589  0.6616555  0.06004352],[0.38971111 0.16917853 0.71032845 0.02047073]
Random,Item,Cluster,1.0,0.5,0.0,[0.47152483 0.45777541 0.48540745 0.04179123],[0.51033717 0.40418239 0.59459709 0.05199872],0.3236264173594509,[-0.03881234 -0.11359206  0.04368314  0.00334067],[-0.08269909 -0.27027784  0.14220799  0.01083813]
Random,Ideal,Cluster,1.0,0.5,0.0,[0.47250414 0.45704935 0.48767752 0.04196193],[0.9993925  0.99810875 1.         0.18718825],0.336838113017258,[-0.52688836 -0.5397609  -0.51448413  0.05216285],[-1.11564793e+00 -1.18571149e+00 -1.04862660e+00  1.17374916e-03]
Random,User,Cluster,1.0,0.5,0.0,[0.47219596 0.45663819 0.48571515 0.04179231],[0.12601278 0.08720845 0.20170703 0.00528222],0.3572978072135137,[0.34618318 0.2907217  0.38572869 0.02292592],[0.73294462 0.57561042 0.81753894 0.00364294]
User,Ideal,Cluster,1.0,0.48,0.0,[0.6077919  0.28975556 0.82273965 0.09760572],[0.99941569 0.99814716 1.         0.18719593],0.4327145016858648,[-0.39162379 -0.66918124 -0.19253964  0.06138151],[-0.77437074 -2.44655318 -0.21456863  0.35244521]
User,Random,Cluster,1.0,0.48,0.0,[0.12752594 0.0859515  0.20844136 0.00564861],[0.47196384 0.45794457 0.486326   0.04188652],0.35714551657192994,[-0.3444379  -0.38521653 -0.28341695  0.022694  ],[-2.88313517 -4.49043138 -1.27097954  0.67109838]
User,Item,Cluster,1.0,0.45,0.0,[0.27927163 0.16981459 0.39713014 0.02138036],[0.42181381 0.32296256 0.50961119 0.03714081],0.43562676470080747,[-0.14254219 -0.245293   -0.03993543  0.00908371],[-0.57127338 -1.45809062 -0.06835225  0.12330739]
Item,Ideal,User-corpus,1.0,0.5,0.0,[0.33099784 0.26396703 0.39287927 0.02240832],[9.85212137e-01 9.77777778e-01 9.91721133e-01 1.18438180e-05],0.0,[-0.65421429 -0.71887813 -0.59351613  0.00107828],[-2.00732161 -2.72563672 -1.51572711  0.09705764]
Item,Random,User-corpus,1.0,0.5,0.0,[0.33034514 0.26202546 0.39896825 0.02281818],[4.22064221e-01 4.05320283e-01 4.39512108e-01 7.84995033e-05],0.0,[-0.09171908 -0.16188272 -0.02035185  0.00129938],[-0.29227647 -0.60860944 -0.05077338  0.02075687]
Item,User,User-corpus,1.0,0.5,0.0,[0.32891573 0.26488231 0.39510351 0.02249335],[0.08309706 0.04106148 0.14758878 0.00076102],0.0,[0.24581867 0.15075873 0.33447007 0.00220026],[0.74312016 0.52225868 0.88446361 0.00903114]
Ideal,Item,User-corpus,1.0,0.5,0.0,[0.98516067 0.97820076 0.99151592 0.18192426],[0.32786583 0.25842089 0.3980096  0.00125439],0.0,[0.65729485 0.5891     0.72695962 0.00123323],[0.6672085  0.59732408 0.73738596 0.00128273]
Ideal,Random,User-corpus,1.0,0.5,0.0,[0.98497617 0.97800843 0.99133395 0.18185551],[4.22485482e-01 4.04345513e-01 4.40509259e-01 8.22423460e-05],0.0,[5.62490693e-01 5.42616799e-01 5.82904698e-01 1.08211922e-04],[5.71057870e-01 5.52323103e-01 5.90496288e-01 9.31742387e-05]
Ideal,User,User-corpus,1.0,0.5,0.0,[0.98505711 0.97777778 0.99192356 0.18191247],[0.08371239 0.03947439 0.14445122 0.00079572],0.0,[9.01344721e-01 8.39425084e-01 9.45906846e-01 8.02789327e-04],[9.15019498e-01 8.53256171e-01 9.59832283e-01 8.19597571e-04]
Random,Item,User-corpus,1.0,0.5,0.0,[0.4219427  0.40422015 0.43919642 0.03350989],[0.32875843 0.26318946 0.3924887  0.00114762],0.0,[0.09318428 0.02598724 0.16110107 0.00126269],[0.2203974  0.06256036 0.37889935 0.00686973]
Random,Ideal,User-corpus,1.0,0.5,0.0,[0.42219112 0.40453288 0.4390036  0.03352494],[9.84826558e-01 9.77529925e-01 9.91069761e-01 1.20969772e-05],0.0,[-5.62635439e-01 -5.82558767e-01 -5.42581352e-01  1.05863018e-04],[-1.33371893 -1.43962459 -1.23398372  0.00266248]
